N=360: 10800 states, 7646970 moves
t=  1 (theta=   0.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  2 (theta=   1.000 deg): ALL WIN  win=10800/10800 rounds=9
t=  3 (theta=   1.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  4 (theta=   2.000 deg): ALL WIN  win=10800/10800 rounds=8
t=  5 (theta=   2.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  6 (theta=   3.000 deg): ALL WIN  win=10800/10800 rounds=7
t=  7 (theta=   3.500 deg): losesome win=3901/10800 rounds=7  #lose=6899 ex=[(1, 1, 358), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 8, 351)]
t=  8 (theta=   4.000 deg): ALL WIN  win=10800/10800 rounds=7
t=  9 (theta=   4.500 deg): ALL WIN  win=10800/10800 rounds=7
t= 10 (theta=   5.000 deg): ALL WIN  win=10800/10800 rounds=7
t= 57 (theta=  28.500 deg): losesome win=474/10800 rounds=4  #lose=10326 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 58 (theta=  29.000 deg): losesome win=465/10800 rounds=4  #lose=10335 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 59 (theta=  29.500 deg): losesome win=453/10800 rounds=4  #lose=10347 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 6, 353), (1, 7, 352)]
t= 60 (theta=  30.000 deg): ALL WIN  win=10800/10800 rounds=4
t= 61 (theta=  30.500 deg): losesome win=437/10800 rounds=4  #lose=10363 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 62 (theta=  31.000 deg): losesome win=431/10800 rounds=4  #lose=10369 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 63 (theta=  31.500 deg): losesome win=422/10800 rounds=4  #lose=10378 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 64 (theta=  32.000 deg): losesome win=416/10800 rounds=4  #lose=10384 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 65 (theta=  32.500 deg): losesome win=407/10800 rounds=4  #lose=10393 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 66 (theta=  33.000 deg): losesome win=401/10800 rounds=4  #lose=10399 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 67 (theta=  33.500 deg): losesome win=392/10800 rounds=4  #lose=10408 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 68 (theta=  34.000 deg): losesome win=386/10800 rounds=4  #lose=10414 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 69 (theta=  34.500 deg): losesome win=377/10800 rounds=4  #lose=10423 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 70 (theta=  35.000 deg): losesome win=371/10800 rounds=4  #lose=10429 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 71 (theta=  35.500 deg): losesome win=362/10800 rounds=4  #lose=10438 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t= 72 (theta=  36.000 deg): ALL WIN  win=10800/10800 rounds=4
t= 73 (theta=  36.500 deg): losesome win=352/10800 rounds=3  #lose=10448 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 74 (theta=  37.000 deg): losesome win=348/10800 rounds=3  #lose=10452 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 75 (theta=  37.500 deg): losesome win=342/10800 rounds=3  #lose=10458 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 76 (theta=  38.000 deg): losesome win=338/10800 rounds=3  #lose=10462 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 77 (theta=  38.500 deg): losesome win=332/10800 rounds=3  #lose=10468 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 78 (theta=  39.000 deg): losesome win=328/10800 rounds=3  #lose=10472 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 79 (theta=  39.500 deg): losesome win=322/10800 rounds=3  #lose=10478 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 80 (theta=  40.000 deg): losesome win=318/10800 rounds=3  #lose=10482 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 81 (theta=  40.500 deg): losesome win=312/10800 rounds=3  #lose=10488 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 82 (theta=  41.000 deg): losesome win=308/10800 rounds=3  #lose=10492 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 83 (theta=  41.500 deg): losesome win=302/10800 rounds=3  #lose=10498 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 84 (theta=  42.000 deg): losesome win=298/10800 rounds=3  #lose=10502 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 85 (theta=  42.500 deg): losesome win=292/10800 rounds=3  #lose=10508 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 86 (theta=  43.000 deg): losesome win=288/10800 rounds=3  #lose=10512 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 87 (theta=  43.500 deg): losesome win=282/10800 rounds=3  #lose=10518 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 88 (theta=  44.000 deg): losesome win=278/10800 rounds=3  #lose=10522 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 89 (theta=  44.500 deg): losesome win=272/10800 rounds=3  #lose=10528 ex=[(1, 1, 358), (1, 2, 357), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t= 90 (theta=  45.000 deg): ALL WIN  win=10800/10800 rounds=3
t= 91 (theta=  45.500 deg): losesome win=265/10800 rounds=3  #lose=10535 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 92 (theta=  46.000 deg): losesome win=263/10800 rounds=3  #lose=10537 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 93 (theta=  46.500 deg): losesome win=259/10800 rounds=3  #lose=10541 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 94 (theta=  47.000 deg): losesome win=257/10800 rounds=3  #lose=10543 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 95 (theta=  47.500 deg): losesome win=253/10800 rounds=3  #lose=10547 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 96 (theta=  48.000 deg): losesome win=251/10800 rounds=3  #lose=10549 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 97 (theta=  48.500 deg): losesome win=247/10800 rounds=3  #lose=10553 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 98 (theta=  49.000 deg): losesome win=245/10800 rounds=3  #lose=10555 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 99 (theta=  49.500 deg): losesome win=241/10800 rounds=3  #lose=10559 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=100 (theta=  50.000 deg): losesome win=239/10800 rounds=3  #lose=10561 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=101 (theta=  50.500 deg): losesome win=235/10800 rounds=3  #lose=10565 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=102 (theta=  51.000 deg): losesome win=233/10800 rounds=3  #lose=10567 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=103 (theta=  51.500 deg): losesome win=229/10800 rounds=3  #lose=10571 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=104 (theta=  52.000 deg): losesome win=227/10800 rounds=3  #lose=10573 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=105 (theta=  52.500 deg): losesome win=223/10800 rounds=3  #lose=10577 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=106 (theta=  53.000 deg): losesome win=221/10800 rounds=3  #lose=10579 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=107 (theta=  53.500 deg): losesome win=217/10800 rounds=3  #lose=10583 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=108 (theta=  54.000 deg): losesome win=215/10800 rounds=3  #lose=10585 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=109 (theta=  54.500 deg): losesome win=211/10800 rounds=3  #lose=10589 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=110 (theta=  55.000 deg): losesome win=209/10800 rounds=3  #lose=10591 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=111 (theta=  55.500 deg): losesome win=205/10800 rounds=3  #lose=10595 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=112 (theta=  56.000 deg): losesome win=203/10800 rounds=3  #lose=10597 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=113 (theta=  56.500 deg): losesome win=199/10800 rounds=3  #lose=10601 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=114 (theta=  57.000 deg): losesome win=197/10800 rounds=3  #lose=10603 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=115 (theta=  57.500 deg): losesome win=193/10800 rounds=3  #lose=10607 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=116 (theta=  58.000 deg): losesome win=191/10800 rounds=3  #lose=10609 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=117 (theta=  58.500 deg): losesome win=187/10800 rounds=3  #lose=10613 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=118 (theta=  59.000 deg): losesome win=185/10800 rounds=3  #lose=10615 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 6, 353), (1, 7, 352)]
t=119 (theta=  59.500 deg): losesome win=181/10800 rounds=3  #lose=10619 ex=[(1, 1, 358), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t=120 (theta=  60.000 deg): ALL WIN  win=10800/10800 rounds=3
t=121 (theta=  60.500 deg): losesome win=178/10800 rounds=2  #lose=10622 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=122 (theta=  61.000 deg): losesome win=177/10800 rounds=2  #lose=10623 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=123 (theta=  61.500 deg): losesome win=175/10800 rounds=2  #lose=10625 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=124 (theta=  62.000 deg): losesome win=174/10800 rounds=2  #lose=10626 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=125 (theta=  62.500 deg): losesome win=172/10800 rounds=2  #lose=10628 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=126 (theta=  63.000 deg): losesome win=171/10800 rounds=2  #lose=10629 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=127 (theta=  63.500 deg): losesome win=169/10800 rounds=2  #lose=10631 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=128 (theta=  64.000 deg): losesome win=168/10800 rounds=2  #lose=10632 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=129 (theta=  64.500 deg): losesome win=166/10800 rounds=2  #lose=10634 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=130 (theta=  65.000 deg): losesome win=165/10800 rounds=2  #lose=10635 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=131 (theta=  65.500 deg): losesome win=163/10800 rounds=2  #lose=10637 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=132 (theta=  66.000 deg): losesome win=162/10800 rounds=2  #lose=10638 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=133 (theta=  66.500 deg): losesome win=160/10800 rounds=2  #lose=10640 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=134 (theta=  67.000 deg): losesome win=159/10800 rounds=2  #lose=10641 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=135 (theta=  67.500 deg): losesome win=157/10800 rounds=2  #lose=10643 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=136 (theta=  68.000 deg): losesome win=156/10800 rounds=2  #lose=10644 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=137 (theta=  68.500 deg): losesome win=154/10800 rounds=2  #lose=10646 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=138 (theta=  69.000 deg): losesome win=153/10800 rounds=2  #lose=10647 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=139 (theta=  69.500 deg): losesome win=151/10800 rounds=2  #lose=10649 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=140 (theta=  70.000 deg): losesome win=150/10800 rounds=2  #lose=10650 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=141 (theta=  70.500 deg): losesome win=148/10800 rounds=2  #lose=10652 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=142 (theta=  71.000 deg): losesome win=147/10800 rounds=2  #lose=10653 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=143 (theta=  71.500 deg): losesome win=145/10800 rounds=2  #lose=10655 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=144 (theta=  72.000 deg): losesome win=144/10800 rounds=2  #lose=10656 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=145 (theta=  72.500 deg): losesome win=142/10800 rounds=2  #lose=10658 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=146 (theta=  73.000 deg): losesome win=141/10800 rounds=2  #lose=10659 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=147 (theta=  73.500 deg): losesome win=139/10800 rounds=2  #lose=10661 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=148 (theta=  74.000 deg): losesome win=138/10800 rounds=2  #lose=10662 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=149 (theta=  74.500 deg): losesome win=136/10800 rounds=2  #lose=10664 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
